제품코드,적용시작일자,급여기준,상한가,가산금,투여경로,제품명,규격,단위,업체명,분류번호,주성분코드,전문/일반,퇴장방지,의약품동등성,저가대체가산여부,예외의약품구분,임의조제불가항목,고시일자,대응코드,희귀의약품구분,판매예정일,동일 의약품,청구규격,본인부담률D(30%)여부,본인부담률A(50%)여부,본인부담률B(80%)여부,선별급여여부,변경이전약품코드,변경이후약품코드,ATC코드,ATC코드_명칭,eng_ingredient_from_benefit
651501000,2024-11-01,삭제,,,내복,아목시브정500mg(아목시실린수화물·설박탐피복실)_(1정),1,정,(주)하원제약,618,380000ATB,전문의약품,,생동(사후통보),대체조제가능,,,2024-10-23,,,,,1,,,,,651501000,,J01CR02,amoxicillin and beta-lactamase inhibitor,amoxicillin 0.25g
651501010,2010-05-01,삭제,,0,주사,아목시브주1500mg(주사용아목시실린나트륨·설박탐나트륨),1,병,(주)하원제약,618,381300BIJ,전문의약품,,,,,,2010-04-27,,,,,1,,,,,A25853811,,,,amoxicillin sodium 1g
651501011,2023-03-01,삭제,,,주사,아목시브주1500mg(주사용아목시실린나트륨·설박탐나트륨)_(1병),1,병,(주)하원제약,618,381300BIJ,전문의약품,,,,,,2022-08-25,,,,,1,,,,,651501011,,,,amoxicillin sodium 1g
651501020,2018-03-01,삭제,,,주사,아목시브주750mg(주사용아목시실린나트륨·설박탐나트륨)_(1병),1,병,(주)하원제약,618,381500BIJ,전문의약품,,,,,,2018-02-23,,,,,1,,,,,651501020,,,,amoxicillin sodium 0.5g
651501021,2023-05-01,삭제,,,주사,아목시브주750mg(주사용아목시실린나트륨·설박탐나트륨)_(1병),1,병,(주)하원제약,618,381500BIJ,전문의약품,,,,,,2022-10-25,,,,,1,,,,,651501021,,,,amoxicillin sodium 0.5g
651501030,2010-11-01,삭제,,0,외용,아세론크림(아세폰산메칠프레드니솔론),1,g,(주)하원제약,269,193401CCM,전문의약품,,생동(사후통보),대체조제가능,,,2010-10-27,,,,,1,,,,,A25803491,,,,
651501040,2018-10-06,삭제,,,내복,아세코트정325밀리그람(아세트아미노펜제피세립)_(0.325g/1정),1,정,(주)하원제약,114,101404ATB,일반의약품,,의약품동등,,,,2018-09-20,,,,,1,,,,,651501040,,,,acetaminophen(encapsulated) 0.325g
651501060,2023-09-05,급여,160,,내복,아세크로정(아세클로페낙)_(0.1g/1정),1,정,(주)하원제약,114,100901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25803121,,M01AB16,aceclofenac,aceclofenac 0.1g
651501080,2017-02-01,급여,153,,내복,아프레스트정(아플로쿠알론)_(20mg/1정),1,정,(주)하원제약,119,104101ATB,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25850071,,M03BX,Other centrally acting agents,afloqualone 20mg
651501090,2012-05-01,삭제,,0,내복,아프릴정10밀리그램(이미다프릴염산염),1,정,(주)하원제약,214,173401ATB,전문의약품,,생동(사후통보),대체조제가능,,,2012-04-26,,,,,1,,,,,A25803881,,,,
651501120,2018-03-01,삭제,,,내복,"어린이아세코트정160밀리그람_(아세트아미노펜제피세립, 0.16g/1정)",1,정,(주)하원제약,114,101401ATB,일반의약품,,의약품동등,,,,2018-02-23,,,,,1,,,,,651501120,,,,acetaminophen(encapsulated) 0.16g
651501130,2023-09-05,급여,98,,내복,에릭슨정(에페리손염산염)_(50mg/1정),1,정,(주)하원제약,122,152301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25803221,,M03BX09,eperisone,eperisone hydrochloride 50mg
651501170,2011-11-01,삭제,,0,내복,울타메트정(시메티딘),1,정,(주)하원제약,232,133301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2011-10-28,,,,,1,,,,,A25800751,,,,cimetidine 0.2g
651501180,2021-02-01,삭제,,,내복,울틴정(시말드레이트)_(0.32g/1정),1,정,(주)하원제약,234,227601ATB,일반의약품,,의약품동등,,,,2020-07-23,,,,,1,,,,,651501180,,,,
651501230,2010-11-01,삭제,,0,내복,제니맥스현탁정125밀리그램(아목시실린·클라불란산칼륨(4:1)),1,정,(주)하원제약,618,467200ATB,전문의약품,,,,,,2010-10-27,,,,,1,,,,,A25853221,,,,
651501250,2013-11-01,삭제,,0,내복,제니맥스현탁정250밀리그램(아목시실린·클라불란산칼륨(4:1)),1,정,하원제약,618,467400ATB,전문의약품,,,,,,2013-07-26,,,,,1,,,,,A25853241,,,,
651501300,2015-05-01,삭제,,,내복,제니프로짓정10/6.25밀리그람,1,정,(주)하원제약,214,470000ATB,전문의약품,,,,,,2015-04-21,,,,,1,,,,,651501300,,,,bisoprolol fumarate 10mg
651501320,2014-05-01,삭제,,,내복,제니프로짓정5/6.25밀리그람,1,정,(주)하원제약,214,469900ATB,전문의약품,,,,,,2014-04-18,,,,,1,,,,,651501320,,,,bisoprolol fumarate 5mg
651501340,2022-11-01,삭제,,,내복,제니프릴정5밀리그람(라미프릴)_(5mg/1정),1,정,(주)하원제약,214,222402ATB,전문의약품,,생동(사후통보),대체조제가능,,,2022-10-25,,,,,1,,,,,651501340,,,,ramipril 5mg
651501380,2018-03-01,삭제,,,내복,지오겔현탁액(콜로이드성인산알루미늄)_(12.38g/20g),20,g/포,(주)하원제약,234,106001ASS,일반의약품,,,,,,2018-02-23,,,,,20,,,,,651501380,,,,
651501440,2023-09-05,급여,360,,내복,카베닐정(카르베딜롤)_(25mg/1정),1,정,(주)하원제약,214,125002ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25803241,,C07AG02,carvedilol,carvedilol 25mg
651501500,2017-02-01,급여,270,,내복,콕시캄캡슐(멜록시캄)_(7.5mg/1캡슐),1,캡슐,(주)하원제약,114,189701ACH,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25803151,,M01AC06,meloxicam,meloxicam 7.5mg
651501540,2013-10-01,삭제,,,내복,큐라제캅셀,1,캅셀,하원제약,233,276500ACH,일반의약품,,,,,,2013-09-30,,,,,1,,,,,651501540,,,,
651501550,2010-11-01,삭제,,0,외용,크록솔액(시클로피록솔아민),1,g,(주)하원제약,265,132804CLQ,일반의약품,,,,,,2010-10-27,,,,,1,,,,,A25853911,,,,
651501570,2023-09-05,급여,162,,내복,타미돌정_(1정),1,정,(주)하원제약,114,513000ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25853971,,N02AJ13,tramadol and paracetamol,acetaminophen 0.325g
651501590,2017-02-01,급여,350,,내복,테로스정2밀리그램(테라조신염산염수화물)_(2.374mg/1정),1,정,(주)하원제약,259,235502ATB,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25803091,,G04CA03,terazosin,terazosin hydrochloride (as terazosin 2mg)
651501610,2023-09-05,급여,115,,내복,티로라정(티로프라미드염산염)_(0.1g/1정),1,정,(주)하원제약,124,240301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25803111,,A03AC05,tiropramide,tiropramide hydrochloride 0.1g
651501630,2016-10-01,삭제,,,주사,파지돈주1그람(세파제돈나트륨),1,병,(주)하원제약,618,130001BIJ,전문의약품,,,,,,2015-12-09,,,,,1,,,,,651501630,651501631,,,cephazedone sodium 1g
651501631,2024-07-01,급여,6082,,주사,파지돈주1g(세파제돈나트륨)_(1g/1병),1,병,(주)하원제약,618,130001BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,651501630,,J01DB06,cefazedone,cephazedone sodium 1g
651501640,2016-10-01,삭제,,,주사,파지돈주2그람(세파제돈나트륨),1,병,(주)하원제약,618,130002BIJ,전문의약품,,,,,,2015-12-09,,,,,1,,,,,651501640,651501641,,,cephazedone sodium 2g
651501641,2024-07-01,급여,9468,,주사,파지돈주2g(세파제돈나트륨)_(2g/1병),1,병,(주)하원제약,618,130002BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,651501640,,J01DB06,cefazedone,cephazedone sodium 2g
651501650,2013-10-01,삭제,,,내복,판듀알정,1,정,하원제약,233,273500ATB,일반의약품,,,,,,2013-09-30,,,,,1,,,,,651501650,,,,
651501700,2012-03-01,삭제,,0,내복,페티젠정(세라티오펩티다제),1,정,(주)하원제약,395,226802ATB,일반의약품,,의약품동등,,,,2011-11-30,,,,,1,,,,,A25800891,,,,
651501710,2010-11-01,삭제,,0,내복,페티젠정10밀리그람(세라티오펩티다제)(수출명:페티젠10밀리그람),1,정,(주)하원제약,395,226801ATB,일반의약품,,,,,,2010-10-27,,,,,1,,,,,A25853351,,,,
651501720,2010-11-01,삭제,,0,주사,포지딤주0.5그람1그람(세프타지딤)(수출명:FONZIDIME),1,병,(주)하원제약,618,128301BIJ,전문의약품,,,,,,2010-10-27,,,,,1,,,,,A25852932,,,,ceftazidime hydrate 1g
651501730,2017-02-01,급여,1784,,내복,프로난캡슐(플루코나졸)_(50mg/1캡슐),1,캡슐,(주)하원제약,629,159903ACH,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25803281,,J02AC01,fluconazole,fluconazole 50mg
651501740,2017-12-01,삭제,,,내복,프로파스과립(파라아미노살리실산칼슘수화물),1,g,(주)하원제약,622,208130AGN,전문의약품,원가보전,,,,,2017-11-23,,,,,1,,,,,651501740,,,,
651501760,2017-02-01,급여,637,,내복,프록세틸정250mg(세푸록심악세틸)(수출명:DAECEFTab.)_(0.30072g/1정),1,정,(주)하원제약,618,128903ATB,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25803361,,J01DC02,cefuroxime,cefuroxime axetil (as cefuroxime 0.25g)
651501770,2021-10-01,삭제,,,내복,피오렌정(피오글리타존염산염)_(16.53mg/1정),1,정,(주)하원제약,396,431901ATB,전문의약품,,생동(사후통보),대체조제가능,,,2021-03-24,,,,,1,,,,,651501770,664602650,,,pioglitazone hydrochloride (as pioglitazone 15mg)
651501780,2016-10-01,삭제,,,주사,하원갈라민주(갈라민트리에티오디드),2,ml/앰플,(주)하원제약,122,164501BIJ,전문의약품,,,,,,2015-12-09,,,,,2,,,,,651501780,651501781,,,
651501781,2020-11-01,삭제,,,주사,하원갈라민주(갈라민트리에티오디드)_(10mg/2mL),2,mL/앰플,(주)하원제약,122,164530BIJ,전문의약품,,,,,,2020-10-23,,,,,2,,,,,651501781,,,,
651501810,2012-07-01,삭제,,0,내복,하원니코란딜정,1,정,(주)하원제약,217,201301ATB,전문의약품,,의약품동등,,,,2012-03-29,,,,,1,,,,,A25851931,,,,nicorandil 5mg
651501820,2017-06-01,삭제,,,내복,하원니페디핀정(수출용),1,정,(주)하원제약,219,201401ATB,전문의약품,,의약품동등,,,,2016-11-25,,,,,1,,,,,651501820,,,,
651501830,2012-09-01,삭제,,0,내복,하원독시사이클린캡슐100mg(독시사이클린하이클레이트)(수출용),1,캡슐,(주)하원제약,615,149701ACH,전문의약품,,의약품동등,,,,2012-02-24,,,,,1,,,,,A25850171,,,,doxycycline hyclate hydrate 0.1g
651501840,2010-11-01,삭제,,0,내복,하원디클로페낙정25밀리그람(수출용),1,정,(주)하원제약,114,143504ATB,전문의약품,,의약품동등,,,,2010-10-27,,,,,1,,,,,A25801621,,,,diclofenac sodium 25mg
651501860,2017-02-01,급여,119,,내복,하원레보설피라이드정_(25mg/1정),1,정,(주)하원제약,239,183501ATB,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25803041,,A03FA,Propulsives,levosulpiride 25mg
651501870,2023-03-01,삭제,,,내복,하원록시트로마이신정(록시트로마이신)_(0.15g/1정),1,정,(주)하원제약,614,225301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2022-08-25,,,,,1,,,,,651501870,,,,roxithromycin 0.15g
651501880,2019-11-07,삭제,,,내복,하원돔페리돈말레산염정_(12.72mg/1정),1,정,(주)하원제약,239,148501ATB,전문의약품,,생동(사후통보),대체조제가능,,,2019-10-30,,,,,1,,,,,651501880,,,,domperidone maleate (as domperidone 10mg)
651501900,2010-11-01,삭제,,0,내복,하원바클로펜정(수출용),1,정,(주)하원제약,122,113501ATB,전문의약품,,의약품동등,,,,2010-10-27,,,,,1,,,,,A25850031,,,,baclofen 10mg
651501940,2022-06-01,급여,140,,내복,하원세티리진정(세티리진염산염)_(10mg/1정),1,정,(주)하원제약,141,130501ATB,일반의약품,,의약품동등,,,,2022-05-23,,,,,1,,,,,A25852051,,R06AE07,cetirizine,cetirizine dihydrochloride 10mg
651501960,2017-02-01,급여,252,,내복,하원세파드록실수화물캡슐500mg_(0.5g/1캡슐),1,캡슐,(주)하원제약,618,125304ACH,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25802191,,J01DB05,cefadroxil,cefadroxil hydrate 0.5g
651501970,2016-10-01,삭제,,,주사,하원세포탁심주1그람(세포탁심나트륨),1,병,(주)하원제약,618,127101BIJ,전문의약품,,,,(52),,2015-12-09,,,,,1,,,,,651501970,651501971,,,cefotaxime sodium 1g
651501971,2022-01-01,급여,4348,,주사,하원세포탁심주1그람(세포탁심나트륨)_(1g/1병),1,병,(주)하원제약,618,127101BIJ,전문의약품,,,,,,2021-12-23,,,,,1,,,,,651501970,,J01DD01,cefotaxime,cefotaxime sodium 1g
651501990,2010-11-01,삭제,,0,주사,하원세프라딘주사1그람,1,병,(주)하원제약,618,130102BIJ,전문의약품,,,,(52),,2010-10-27,,,,,1,,,,,A25802561,,,,cefradine 1g
651502020,2016-10-01,삭제,,,주사,하원세프테졸주1g(세프테졸나트륨),1,g,(주)하원제약,618,128501BIJ,전문의약품,,,,,,2015-12-09,,,,,1,,,,,651502020,651502021,,,ceftezole sodium 1g
651502021,2018-03-01,삭제,,,주사,하원세프테졸주1g(세프테졸나트륨)_(1g/1병),1,병,(주)하원제약,618,128501BIJ,전문의약품,,,,,,2018-02-23,,,,,1,,,,,651502021,,,,ceftezole sodium 1g
651502030,2016-10-01,삭제,,,주사,하원세프트리악손주1g(세프트리악손나트륨수화물),1,병,(주)하원제약,618,128801BIJ,전문의약품,,,,(52),,2015-12-09,,,,,1,,,,,651502030,651502031,,,ceftriaxone sodium hydrate 1g
651502031,2024-07-01,급여,8020,,주사,하원세프트리악손주1g(세프트리악손나트륨수화물)_(1g/1병),1,병,(주)하원제약,618,128801BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,651502030,,J01DD04,ceftriaxone,ceftriaxone sodium hydrate 1g
651502050,2016-10-01,삭제,,,주사,하원세프트리악손주2g(세프트리악손나트륨수화물),1,병,(주)하원제약,618,128803BIJ,전문의약품,,,,,,2015-12-09,,,,,1,,,,,651502050,651502051,,,ceftriaxone sodium hydrate 2g
651502051,2024-07-01,급여,13116,,주사,하원세프트리악손주2g(세프트리악손나트륨수화물)_(2g/1병),1,병,(주)하원제약,618,128803BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,651502050,,J01DD04,ceftriaxone,ceftriaxone sodium hydrate 2g
651502070,2018-03-01,삭제,,,내복,"하원시리마린정(수출명:HAWONLEVERINE)_(카르두스마리아누스엑스, 0.1g/1정)",1,정,(주)하원제약,391,123901ATB,일반의약품,,의약품동등,,,,2018-02-23,,,,,1,,,,,651502070,,,,
651502080,2016-12-01,삭제,,,내복,하원시클로세린캅셀,1,캡슐,(주)하원제약,613,139101ACH,전문의약품,,의약품동등,,,,2016-05-24,,,,,1,,,,,651502080,,,,cycloserine 0.25g
651502090,2010-05-01,삭제,,0,주사,하원시티콜린나트륨주사250mg(ml),2,ml/앰플,(주)하원제약,219,134603BIJ,전문의약품,,,,,,2010-04-27,,,,,2,,,,,A25853441,,,,
651502120,2017-02-01,급여,459,,내복,하원아시클로버200밀리그람정_(0.2g/1정),1,정,(주)하원제약,629,102904ATB,전문의약품,,생동(사후통보),대체조제가능,,,2017-01-20,,,,,1,,,,,A25851971,,J05AB01,aciclovir,acyclovir 0.2g
651502130,2016-10-01,삭제,,,외용,하원아시클로버크림(수출명:하시클로크림),1,g,(주)하원제약,269,102906CCM,일반의약품,,,,,,2015-12-09,,,,,1,,,,,651502130,651502131,,,
651502131,2016-01-01,급여,2640,,외용,하원아시클로버크림(수출명:하시클로크림)_(0.25g/5g),5,g/개,(주)하원제약,269,102935CCM,일반의약품,,,,,,2015-12-09,,,,199702843,5,,,,,651502130,,D06BB03,aciclovir,acyclovir 0.25g(50mg/g)
651502160,2021-11-01,삭제,,,내복,"하원에날라프릴정_(에날라프릴말레산염, 10mg/1정)",1,정,(주)하원제약,214,151601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2021-10-22,,,,,1,,,,,651502160,,,,enalapril maleate 10mg
651502190,2010-11-01,삭제,,0,내복,하원에토돌락캅셀(수출용),1,캅셀,(주)하원제약,114,156602ACH,전문의약품,,의약품동등,,,,2010-10-27,,,,,1,,,,,A25850461,,,,etodolac 0.2g
651502200,2012-03-01,삭제,,0,내복,하원엘시스틴연질캅셀500밀리그람(수출명:싸틴연질캡슐HEPROSPAR),1,캅셀,(주)하원제약,325,139503ACS,일반의약품,,의약품동등,,,,2011-11-30,,,,,1,,,,,A25852631,,,,
651502220,2016-10-01,삭제,,,주사,하원염산트라마돌주(트라마돌염산염),1,ml/앰플,(주)하원제약,114,242303BIJ,전문의약품,,,,(52),,2015-12-09,,,,,1,,,,,651502220,651502221,,,
651502221,2018-03-01,삭제,,,주사,하원염산트라마돌주(트라마돌염산염)_(50mg/1mL),1,mL/앰플,(주)하원제약,114,242330BIJ,전문의약품,,,,,,2018-02-23,,,,,1,,,,,651502221,,,,tramadol hydrochloride 50mg(50mg/mL)
651502240,2018-03-01,삭제,,,내복,하원이부프로펜정200밀리그람_(0.2g/1정),1,정,(주)하원제약,114,172802ATB,일반의약품,,의약품동등,,,,2018-02-23,,,,,1,,,,,651502240,,,,ibuprofen 0.2g
651502250,2018-10-06,삭제,,,내복,하원이부프로펜정400mg_(0.4g/1정),1,정,(주)하원제약,114,172806ATB,일반의약품,,의약품동등,,,,2018-09-20,,,,,1,,,,,651502250,,,,ibuprofen 0.4g
651502320,2010-11-01,삭제,,0,내복,하원클로르페네신정250mg(카르바민산클로르페네신)(수출용),1,정,(주)하원제약,122,131702ATB,전문의약품,,의약품동등,,,,2010-10-27,,,,,1,,,,,A25852471,,,,chlorphenesin carbamate 0.25g
651502330,2023-09-05,급여,148,,내복,하원탈니플루메이트정_(0.37g/1정),1,정,(주)하원제약,114,234401ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-09-01,,,,,1,,,,,A25851921,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids",talniflumate 0.37g
651502340,2011-11-01,삭제,,0,내복,하원티클로피딘정100m밀리그람(수출용),1,정,(주)하원제약,339,239201ATB,전문의약품,,의약품동등,,,,2011-10-28,,,,,1,,,,,A25850401,,,,ticlopidine hydrochloride 0.1g
651502350,2018-03-01,삭제,,,내복,하원티클로피딘정250밀리그람(수출명:티피딘정250밀리그람(염산티클로피딘))_(0.25g/1정),1,정,(주)하원제약,339,239202ATB,전문의약품,,생동(사후통보),대체조제가능,,,2018-02-23,,,,,1,,,,,651502350,,,,ticlopidine hydrochloride 0.25g
651502360,2024-07-01,삭제,,,내복,하원파모티딘정(파모티딘)_(20mg/1정),1,정,(주)하원제약,232,157302ATB,전문의약품,,생동(사후통보),대체조제가능,,,2023-12-22,,,,,1,,,,,651502360,678602040,,,famotidine 20mg
