code,synonyms
"102906CCM","고려아시클로버크림,국제아시클로버크림,녹십자아시클로버크림,대우아시클로버크림,대화아시클로버크림,메노바크림,바이버크림(아시클로버,바코시론크림,바크락스크림(아시클로버,바크로비크림"
"102906COM","바크락스연고,바크락스연고(아시클로버,씨트로비연고,우리들아시클로버연고"
"102907ATB","동아조비락스정,에크로바정400밀리그람,조이렉스정400밀리그람,진양아시클로버정"
"102930CCM","국제아시클로버크림,바크로비크림"
"102931COO","바이클로버안연고,헤르페시드안연고"
"102933CCM","국제아시클로버크림,바크로비크림"
"102934BIJ","바시로바주사,바크락스주,아시클러주,아시클린주,에크로바주(아시클로버,조비락스정주,조이렉스주사액,클로바주"
"102935CCM","고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스크림,국제아시클로버크림,대화아시클로버크림,메노바크림,바이버크림,바크락스크림(아시클로버,바크로비크림,삼공아시클로버크림,신일아시클로버크림,씨크로크림"
"102935COM","바크락스연고,씨트로비연고,팜젠아시클로버연고"
"102937CCM","국제아시클로버크림,대화아시클로버크림,바코시론크림,바크락스크림(아시클로버,삼공아시클로버크림,셀트리온아시클로버크림,안국아시클로버크림,오스틴아시클로버크림,조비락스크림,크리바크림"
"102944ASY","지나시드건조시럽800밀리그람"
"102945CCM","오스틴아시클로버크림,크라운아시클로버크림"
"103001BIJ","데노신주사(아데노신,아데노코주사"
"103002BIJ","데노신주사,아노신주"
"103030BIJ","데노신주사(아데노신,아데노코주사"
"103031BIJ","데노신주사,아노신주"
"103301BIJ","아티오닐주"
"103401CCM","알크로반크림,알타손크림"
"103433CCM","아모타손크림,알타손크림"
"104004ACH","마로닌캡슐50밀리그람,헤모로이캅셀"
"104101ATB","미아론정,미오벤정,보령아플로쿠알론정,세카론정,아로베스트정,아로칼엠정,아푸로친정,아프레스트정,알푸론정,칼론정"
"104303ATB","동구알벤다졸정,렉스정,벤다졸정,벤티졸정,알나졸정400밀리그람,오르원정400밀리그람(알벤다졸,올비스정,젠텔정400밀리그람"
"104501BIJ","프로류킨주"
"104601ACS","디칼시연질캅셀0.5마이크로그람,리치칼슘연질캡슐,알파디연질캡슐,알파디트리연질캅셀0.5마이크로그램(수출명:본그린연질캅셀,알파본연질캡슐(알파칼시돌,알파시돌연질캡슐0.5마이크로그램,알파칼연질캡슐,중외알파롤연질캡슐0.5마이크로그램,화니돌0.5마이크로그램연질캡슐"
"104602ACS","디칼시연질캡슐1마이크로그람,아시돌연질캡슐1마이크로그램"
"104701BIJ","스펜알주사,알페닐주사,하나알펜타닐주사"
"104703BIJ","스펜알주사,알페닐주사,알페닐주사(알펜타닐염산염,하나알펜타닐주사"
"104730BIJ","스펜알주사,알페닐주사,하나알펜타닐주사"
"104731BIJ","알페닐주사,알페닐주사(알펜타닐염산염,하나알펜타닐주사"
"104803ATR","루라엑스엘정,바이트랄엑스엘정,베아자트엑스엘정,알조신정,알트랄엑스엘정,알푸랄엑스엘정,알푸릭스엑스엘정,알푸케어서방정,알프라엑스엘정,알프론엑스엘정"
"104901ATB","뉴진탈정,다벤돌정,라리벤돌정,라벤돈정,라벤정,랙스판정,리베라정,리벤다제정,리벤돌정,리피돌정"
"105001ATB","유유알로푸리놀정,자이로릭정,한국유나이티드알로푸리놀정"
"105201ASS","게이트현탁액,겔투현탁액,뉴트라겔현탁액,동광알마게이트현탁액,알드린현탁액,알마겔에프현탁액,알마트론현탁액,알시드현탁액(알마게이트,제일알맥스현탁액,파티겔현탁액(알마게이트"
"105202ASS","그린에스현탁액(알마게이트,알드린1그람현탁액(알마게이트,알마겔현탁액(알마게이트,파티겔현탁액1그람"
"105202ATB","아르마정,알마천정"
"105203ATB","게이트정,글로게이트정,대웅바이오알마게이트정500밀리그램,대원알마게이트정,동광알마게이트정,드림파마알마게이트정,마게이트정,마겐정,마그엠정,메디알정"
"105230ASS","알드린1그람현탁액(알마게이트,알마겔현탁액(알마게이트,파티겔현탁액1그람"
"105502ATB","명문알프라졸람정0.25밀리그램,아졸락정0.25밀리그람,알작스정0.25밀리그람,알프라낙스정0.25밀리그람,알프라원정,알프람정,자나팜정0.25밀리그람,자낙스정,자세틴정,자이렌정"
"105504ATB","새프람정,아졸락정0.4밀리그람,알프람정,자나팜정0.4밀리그람"
"105505ATB","명문알프라졸람정0.5밀리그램,아졸락정0.5밀리그람,알작스정,알프라낙스정0.5밀리그람,알프라원정,알프람정,자나팜정0.5밀리그람,자낙스정,자이렌정,한림알프라졸람정0.5밀리그램"
"105507ATB","알프람정,자나팜정"
"105601BIJ","알로스틴주사,알로스틴주사(알프로스타딜,알프로딜주,에글란딘주,프링크주"
"105603BIJ","알로스틴주사,알로스틴주사(알프로스타딜,에글란딘주,프링크주"
"105630BIJ","알로스틴주사(알프로스타딜,에글란딘주"
"105631BIJ","알로스틴주사,알로스틴주사(알프로스타딜,알프로딜주,에글란딘주"
"105701BIJ","동아푸로스탄딘주,알스타딜주,알푸로덱스주20마이크로그램"
"105902ATB","게루삼엠정,암포젤정"
"106001ASS","겔포스,겔포스현탁액,네오겔현탁액,지오겔현탁액"
"106201ATB","아만타정,피케이멜즈정"
"106301ATB","넥스팜염산암부록솔정,다이투스정,대우암브록솔정(염산암브록솔,동광염산암브록솔정,로이솔정,록솔정,마이팜염산암브록솔정,뮤록솔정,뮤코로솔정,뮤코브이정"
"106302BIJ","나독솔주사,동광염산암브록솔주사,로이솔주사액,명문염산암브록솔주사,뮤코펙트주사액(염산암브록솔,브론펙트주사15밀리그람,솔프란주사액,신일암브록솔염산염주사액,아록솔주,암브록주"
"106303ASY","대우암브록솔시럽,뮤코브이시럽,뮤트란시럽,우리들암브록솔염산염시럽,이텍스암브록솔시럽"
"106330BIJ","나독솔주사,동광염산암브록솔주사,로이솔주사액,명문암브록솔염산염주사,뮤코솔주,뮤코윈드주,뮤코펙트주사액(암브록솔염산염,신일암브록솔염산염주사액,아록솔주,암펙솔주"
"106331ASY","뮤코브이시럽,이텍스암브록솔시럽,팜젠암브록솔염산염시럽"
"106332ASY","우리들암브록솔염산염시럽,이텍스암브록솔시럽"
"106801BIJ","아미킨주,아믹탐주사액(아미카신황산염"
"106803BIJ","동아아미카신황산염주,동아아미카신황산염주200밀리그램"
"106804BIJ","동광아미카신주,동아아미카신황산염주사액,라믹킨주250밀리그람(황산아미카신,루카시놀주,마카린주사액,메이신주,삼천당아미카신주,신일황산아미카신주사액250밀리그람,신풍아미카신황산염주사액,아디칸주사액250밀리그람(아미카신황산염"
"106805BIJ","글리녹스주사,바이넥스황산아미카신주,신일황산아미카신주사액500밀리그람,신풍아미카신황산염주사액,아디칸주사액500밀리그람,아미킨주,아믹탐주사액(아미카신황산염주사액,아주황산아미카신주사500밀리그람,유니온아미카신주,유니온아미카신주500밀리그람(황산아미카신"
"106831BIJ","동광아미카신주,동아아미카신황산염주사액250밀리그램,라믹킨주(아미카신황산염,루카시놀주,마카린주사액,메이신주,삼천당아미카신주,신일아미카신황산염주사액250밀리그램,신풍아미카신황산염주사액250밀리그램,아디칸주사액250밀리그람(아미카신황산염"
"106833BIJ","신풍아미카신황산염주사액,아디칸주사액500밀리그람,아믹탐주사액,유니온아미카신주,유니온아미카신주500밀리그람(아미카신황산염"
"107108BIJ","가네파솔주,리세파솔주,카보라민주,토비다솔주,하이남주"
"107110BIJ","유바솔주,중외트로파민주,헬파워솔주,후라바솔헤파주"
"107114BIJ","슈어로솔주,테크노민주,토프라민주,파렌타민주"
"107115BIJ","리케어솔주,세레파민주,아미노스테릴엔 헤파주,아미노스테릴엔헤파주,중외헤파타민주,파노라민주"
"107117BIJ","누트리푸신주,레미파솔주,리액타솔주,브레노솔주,아미노리바솔주,아미노스테릴케이이주,아카데아민주,에바노신주,토파뉴솔주,헤파로솔주"
"107118BIJ","샌다민주,알파푸렉스,한올아미닉주"
"107120BIJ","뉴라솔주,솔그린12.5주"
"107138BIJ","건푸렉스주,에바코민주"
"107139BIJ","뉴트라솔주,루치아솔주,리바비솔주,솔루헤파주,신코나민주,에가푸신주,카보라민주,크라렉스주,포그민주,하이남주"
"107140BIJ","가네파솔주,리바비솔주,아미랄주,에가푸신주,크라렉스주,푸라솔주"
"107141BIJ","네프리솔주,네프솔주,유로패스주,중외네프라민주"
"107142BIJ","베베라민주,아미노벤인펀트주,중외트로파민주"
"107144BIJ","진보민주,트로미솔주,파미솔주사"
"107148BIJ","네프로스테릴주,중외후리아민에이취.비.씨주"
"107151BIJ","게라민주,리버도솔주,앰보솔주,파렌타민주,헤라젠주,헤크민주"
"107153BIJ","레보타솔주,리바후라민주,삼성헤파부민주,세레파민주,에셀민주,에이나민주,이소나민주,주시아솔주,중외헤파타민주,헤파비아주"
"107154BIJ","레보타솔주,리바후라민주,리브솔주,아미노스테릴엔 헤파주,아미노스테릴엔헤파주,에이나민주,중외헤파타민주,한올모리헤파민주,헤파비아주,헤파타민주"
"107155BIJ","마리나솔주,솔민주,씨제이후라바솔주,엘리아민주,이노엔후라바솔주,중외후리아민주,후리아민주"
"107156BIJ","마리나솔주,씨제이후라바솔주,아노솔주,이노엔후라바솔주,중외후리아민주,후리아민주"
"107159BIJ","리파믹스주,멀티에이주,바이오솔주,씨제이후라바솔주,아미노스테릴케이이주,에파크민주,영진인트라푸신주,이노엔후라바솔주,제라미콤주,젤로솔주"
"107160BIJ","리베르민주,멀티에이주,바이오솔주,씨제이후라바솔주,알파민주,영진인트라푸신주,이노엔후라바솔주,제라미콤주,중외후리아민주,카프솔주"
"107161BIJ","샌다민주,알파푸렉스,알파푸렉스주"
"107165BIJ","비바솔주,프레솔주"
"107167BIJ","아미칼민주,포셀아민주"
"107301ATB","대우아미노필린수화물정,대원아미노필린정[수출명:아미핀정(Amipinetab.)],마이팜아미노필린정,아미린정"
