rank,term,frequency,category,length
652,척추후방고정술,6,구체적수술시술,7
653,영상증폭장치,6,의료기기치료재료,6
654,자궁소파수술,6,구체적수술시술,6
655,환자안전기,6,의료기기치료재료,5
656,방광경검사,6,전문검사진단,5
657,만성동맥폐색증,6,복합질병명,7
658,Combination Therapy,6,영문복합의학용어,19
659,갑상선질환,6,복합질병명,5
660,인공관절재치환술,6,구체적수술시술,8
661,이베니티,6,기타전문용어,4
662,Romosozumab,6,영문약물명,11
663,정맥혈전색전증,6,복합질병명,7
664,엘리퀴스,6,기타전문용어,4
665,릭시아나,6,기타전문용어,4
666,자가유래연골세포,6,상세해부구조,8
667,체외순환기,6,의료기기치료재료,5
668,바이토린,6,기타전문용어,4
669,Simvastatin,6,영문약물명,11
670,대비감도검사,6,전문검사진단,6
671,수가개선,6,상세해부구조,4
672,신경과전문의,6,상세해부구조,6
673,근관장측정검사,6,전문검사진단,7
674,교원성혈관,6,상세해부구조,5
675,휴온스 리도카인 염산염 수화물,6,기타전문용어,16
676,프로토픽,6,기타전문용어,4
677,편평상피세포,6,상세해부구조,6
678,체외진단검사,6,전문검사진단,6
679,볼리브리스,6,기타전문용어,5
680,산도스타틴,6,기타전문용어,5
681,아빌리파이메인테나,6,기타전문용어,9
682,자베스카,6,기타전문용어,4
683,스타빌라이지드세레텍,6,기타전문용어,10
684,혈액성분채집술,6,구체적수술시술,7
685,중이내튜브,6,기타전문용어,5
686,중이내튜브유치술,6,구체적수술시술,8
687,클로자릴,6,기타전문용어,4
688,자궁내막흡인생검,6,전문검사진단,8
689,혈액총이산화탄소함량,6,측정값지표,10
690,프라그민,6,기타전문용어,4
691,Propranolol,6,영문약물명,11
692,검체크기,6,의료기기치료재료,4
693,비예기항체검사,6,전문검사진단,7
694,염색뇨검사,6,전문검사진단,5
695,구강미생물검사,6,전문검사진단,7
696,혈액응고탄성도검사,6,전문검사진단,9
697,비탁면역분석,6,전문검사진단,6
698,혈액배양신속검출기기,6,의료기기치료재료,10
699,최소억제농도검사,6,전문검사진단,8
700,효소면역측정,6,전문검사진단,6
701,정독경관조직,6,상세해부구조,6
702,신속처리병리조직검사,6,전문검사진단,10
703,신속처리병리조직,6,상세해부구조,8
704,미생물라텍스응집검사,6,전문검사진단,10
705,Polypeptide,6,기타전문용어,11
706,연속절편검사,6,전문검사진단,6
707,재박절검사,6,전문검사진단,5
708,골조직검사,6,전문검사진단,5
709,조직면역형광검사,6,전문검사진단,8
710,주사전자현미경검사,6,전문검사진단,9
711,면역전자현미경검사,6,전문검사진단,9
712,동결전자현미경검사,6,전문검사진단,9
713,분석전자현미경검사,6,전문검사진단,9
714,자궁경부암검사,6,전문검사진단,7
715,구강박리세포병리검사,6,전문검사진단,10
716,구강박리세포,6,상세해부구조,6
717,Disopyramide,6,기타전문용어,12
718,Acethylprocainamide,6,기타전문용어,19
719,Zonisamide,6,기타전문용어,10
720,Procainamide,6,기타전문용어,12
721,테이코플라닌약물정량검사,6,전문검사진단,12
722,옥스카르바제핀,6,기타전문용어,7
723,요중불화물측정,6,전문검사진단,7
724,불소이온측정검사,6,전문검사진단,8
725,일본뇌염항체검사,6,전문검사진단,8
726,뎅기열항체검사,6,전문검사진단,7
727,특수약물검사,6,전문검사진단,6
728,마이토닌,6,기타전문용어,4
729,반창고견인술,6,구체적수술시술,6
730,사시각측정,6,전문검사진단,5
731,자궁전적제술,6,구체적수술시술,6
732,진성혈소판증가증과,6,기타전문용어,9
733,골수증식성종양과,6,기타전문용어,8
734,뉴신타서방,6,기타전문용어,5
735,프레지스타,6,기타전문용어,5
736,백혈구배양검사,6,전문검사진단,7
737,딜라트렌,6,기타전문용어,4
738,트랙토실,6,기타전문용어,4
739,Botulinum Toxin Injection Therapy,6,영문복합의학용어,33
740,악골골절수술,6,구체적수술시술,6
741,치주외과수술과,6,기타전문용어,7
742,치주외과수술,6,구체적수술시술,6
743,Berman Angiographic Catheter,6,영문복합의학용어,28
744,배액수집용기,6,의료기기치료재료,6
745,공여피부절제기,6,의료기기치료재료,7
746,중간엽줄기,6,의료기기치료재료,5
747,큐피스템,6,기타전문용어,4
748,중간엽줄기세포,6,상세해부구조,7
749,새한크롬이디티에이,6,기타전문용어,9
750,이중상공막,6,상세해부구조,5
751,소화관내시경검사,6,전문검사진단,8
752,수액유량조절기,6,의료기기치료재료,7
753,전산화단층촬영시스템,6,의료기기치료재료,10
754,신경생리추적,6,전문검사진단,6
755,분자유전검사,6,전문검사진단,6
756,라이터검사,6,전문검사진단,5
757,신경근파괴술,6,구체적수술시술,6
758,추간판내고주파열응고술,6,구체적수술시술,11
759,알버트평가검사,6,전문검사진단,7
760,성인배설기능장애,6,복합질병명,8
761,성인배설기,6,의료기기치료재료,5
762,전부비강근본수술,6,구체적수술시술,8
763,안검하수증수술,6,구체적수술시술,7
764,인공슬관절,6,상세해부구조,5
765,인공슬관절치환술,6,구체적수술시술,8
766,전체운동기능측정,6,전문검사진단,8
767,전체운동기,6,의료기기치료재료,5
768,본인일부부담금산정특례에관한기,6,의료기기치료재료,15
769,환자감시장치,6,의료기기치료재료,6
770,피부단자검사,6,전문검사진단,6
771,심혈관조영,6,전문검사진단,5
772,성격선호도검사,6,전문검사진단,7
773,조혈모세포이식의요양급여에관한기,6,상세해부구조,16
774,가산기준과,6,기타전문용어,5
775,잠복결핵검사,6,전문검사진단,6
776,건강진단결과,6,기타전문용어,6
777,전용생활치료센터,6,기타전문용어,8
778,상병분류기,6,의료기기치료재료,5
779,진단용방사선,6,상세해부구조,6
780,납차폐특수치,6,측정값지표,6
781,납차폐특수치료실,6,기타전문용어,8
782,전문응급센터,6,기타전문용어,6
783,메르스검사,6,전문검사진단,5
784,메르스검사결과,6,기타전문용어,7
785,특정내역기,6,의료기기치료재료,5
786,초음파진단,6,전문검사진단,5
787,일반병상비율,6,측정값지표,6
788,인체면역결핍바이러스질환,6,복합질병명,12
789,임상병리검사,6,전문검사진단,6
790,급성열성호흡기,6,의료기기치료재료,7
791,차등제시행과,6,기타전문용어,6
792,기준초과,6,기타전문용어,4
793,초음파골밀도측정,6,전문검사진단,8
794,타요양기,6,의료기기치료재료,4
795,동종말초혈액조혈모세포,6,상세해부구조,11
796,보험급여인정기,6,의료기기치료재료,7
797,의료보험요양급여기,6,의료기기치료재료,9
798,의료보험요양기,6,의료기기치료재료,7
799,신장이식수술,6,구체적수술시술,6
800,경근무늬측정검사,6,전문검사진단,8
801,진단분류기,6,의료기기치료재료,5
802,한방수기,6,의료기기치료재료,4
803,한방수기요법,6,구체적수술시술,6
804,연부조직종양적출술과,6,상세해부구조,10
805,국소피판작성술,6,구체적수술시술,7
806,응고시간검사,6,전문검사진단,6
807,두개골성형술,6,구체적수술시술,6
808,영구적심박동기,6,의료기기치료재료,7
809,CT 요양급여,6,기타전문용어,7
810,MRI 인정여부,6,기타전문용어,8
811,폐쐐기절제술과,6,기타전문용어,7
812,선행화학요법,6,구체적수술시술,6
813,추나요법과,6,기타전문용어,5
814,경락기능검사,6,전문검사진단,6
815,삼각섬유연골복합체,6,상세해부구조,9
816,동맥간우회로조성술,6,구체적수술시술,9
817,갑상선전절제술,6,구체적수술시술,7
818,흉터개선,6,상세해부구조,4
819,고주파절제술과,6,기타전문용어,7
820,젠자임타이로젠,6,기타전문용어,7
821,간동맥화학색전술,6,구체적수술시술,8
822,피부레이저광선,6,상세해부구조,7
823,부비동악성종양적출술,6,구체적수술시술,10
824,타각적청력역치측정검사,6,전문검사진단,11
825,위아전절제술,6,구체적수술시술,6
826,동기능부전증후군,6,복합질병명,8
827,방사선병용요법,6,구체적수술시술,7
828,항암화학요법과,6,기타전문용어,7
829,제한병기,6,의료기기치료재료,4
830,심장내과,5,기타전문용어,4
831,대한천식알레르기,5,의료기기치료재료,8
832,만성육아종질환,5,복합질병명,7
833,Disease Modifying,5,영문복합의학용어,17
834,중증감염증,5,복합질병명,5
835,주의력결핍과,5,기타전문용어,6
836,주의력결핍과잉행동장애,5,복합질병명,11
837,원발장기,5,의료기기치료재료,4
838,담도협착확장술,5,구체적수술시술,7
839,배액관교환술,5,구체적수술시술,6
840,요관스텐트설치술,5,구체적수술시술,8
841,아뎀파스,5,기타전문용어,4
842,크론병활성도,5,측정값지표,6
843,Disease Modifying Anti,5,영문복합의학용어,22
844,울혈성심부전,5,복합질병명,6
845,Membrane Oxygenation,5,영문복합의학용어,20
846,폐구역절제술,5,구체적수술시술,6
847,약물방출스텐트,5,의료기기치료재료,7
848,경피적풍선혈관,5,상세해부구조,7
849,대퇴슬와동맥,5,상세해부구조,6
850,경피적풍선혈관성형술,5,구체적수술시술,10
851,Vancomycin,5,영문약물명,10
852,좌심실기능부전,5,복합질병명,7
853,감별하기,5,의료기기치료재료,4
854,Ocrelizumab,5,영문약물명,11
855,디엠듀오,5,기타전문용어,4
856,유전자검사결과,5,기타전문용어,7
857,대한심부전,5,복합질병명,5
858,확진하기,5,의료기기치료재료,4
859,보호하기,5,의료기기치료재료,4
860,아일리아,5,기타전문용어,4
861,빛간섭단층촬영,5,전문검사진단,7
862,만성신질환,5,복합질병명,5
863,Brolucizumab,5,영문약물명,12
864,Treatment Strategies,5,영문복합의학용어,20
865,대동맥근부수술,5,구체적수술시술,7
866,진료협력센터,5,기타전문용어,6
867,퇴행성질환,5,복합질병명,5
868,염증성질환,5,복합질병명,5
869,Benralizumab,5,영문약물명,12
870,Fremanezumab,5,영문약물명,12
871,Coagulation Disorders,5,영문복합의학용어,21
872,우관상동맥,5,상세해부구조,5
873,전시야광역치검사,5,전문검사진단,8
874,공공의료과,5,기타전문용어,5
875,내시경하생검,5,전문검사진단,6
876,Alirocumab,5,영문약물명,10
877,Drug Therapy,5,영문복합의학용어,12
878,Evolocumab,5,영문약물명,10
879,담낭악성종양근치수술,5,구체적수술시술,10
880,다낭성난소증후군,5,복합질병명,8
881,재검토기,5,의료기기치료재료,4
882,입원전담전문의,5,기타전문용어,7
883,척추동정맥기,5,상세해부구조,6
884,선천성질환,5,복합질병명,5
885,척추동정맥,5,상세해부구조,5
886,체내고정용금속제거술,5,구체적수술시술,10
887,구순열비교정술,5,구체적수술시술,7
888,수술하기,5,의료기기치료재료,4
889,운동부하검사,5,전문검사진단,6
890,발치술과,5,기타전문용어,4
891,밀봉소선,5,상세해부구조,4
892,도수근력검사,5,전문검사진단,6
893,연결하기,5,의료기기치료재료,4
894,냉동제거술과,5,기타전문용어,6
895,세침흡인생검,5,전문검사진단,6
896,뇌척수액루수술,5,구체적수술시술,7
897,경동맥화학색전술,5,구체적수술시술,8
898,혈류감염증,5,복합질병명,5
899,자폐성장애,5,복합질병명,5
900,뇌병변장애,5,복합질병명,5
901,물리치료요법,5,구체적수술시술,6
902,사지골절도수정복술,5,구체적수술시술,9
903,체내금속고정술,5,구체적수술시술,7
904,일반병실과,5,기타전문용어,5
905,망막박리수술과,5,상세해부구조,7
906,인정하기,5,의료기기치료재료,4
907,치주질환수술,5,구체적수술시술,6
908,종합병원과,5,기타전문용어,5
909,화상전문응급의료센터,5,기타전문용어,10
910,Rabeprazole,5,영문약물명,11
911,Grazoprevir,5,기타전문용어,11
912,Voxilaprevir,5,기타전문용어,12
913,Elbasvir,5,기타전문용어,8
914,바이러스검사,5,전문검사진단,6
915,카테터삽입술,5,구체적수술시술,6
916,Inflammatory Bowel Disease,5,영문복합의학용어,26
917,조기위암절제술,5,구체적수술시술,7
918,대변항원검사,5,전문검사진단,6
919,제외국평가,5,전문검사진단,5
920,일반식과,5,기타전문용어,4
921,약물주입펌프이식술,5,구체적수술시술,9
922,중심정맥내카테터,5,상세해부구조,8
923,관상동맥우회로술,5,구체적수술시술,8
924,양성종양적출술,5,구체적수술시술,7
925,시험적거치술,5,구체적수술시술,6
926,도모하기,5,의료기기치료재료,4
927,눈물막파괴검사,5,전문검사진단,7
928,교원성혈관질환,5,복합질병명,7
929,교원성혈관질환과,5,상세해부구조,8
930,혈액여과,5,기타전문용어,4
931,혈액투석여과,5,기타전문용어,6
932,풍선확장카테터,5,상세해부구조,7
933,관상동맥회로우회술,5,구체적수술시술,9
934,Distal Access Intermediate Catheter,5,영문복합의학용어,35
935,금속스텐트삽입술,5,구체적수술시술,8
936,Dialysis Therapy,5,영문복합의학용어,16
937,조혈모세포이식술,5,구체적수술시술,8
938,인접장기,5,의료기기치료재료,4
939,Adjunctive Therapy,5,영문복합의학용어,18
940,New Treatment Recommendations,5,영문복합의학용어,29
941,하비갑개절제술,5,구체적수술시술,7
942,역행성담췌관내시경,5,기타전문용어,9
943,역행성담췌관내시경수술,5,구체적수술시술,11
944,Quetiapine,5,기타전문용어,10
945,난소과자극증후군,5,복합질병명,8
946,Daclatasvir,5,기타전문용어,11
947,특수염색검사,5,전문검사진단,6
948,해부병리조직,5,상세해부구조,6
949,해부병리조직검사,5,전문검사진단,8
950,불규칙항체검사,5,전문검사진단,7
951,요침사검사,5,전문검사진단,5
952,Oseltamivir,5,기타전문용어,11
953,Certolizumab,5,영문약물명,12
954,분자병리검사,5,전문검사진단,6
955,경요도적방광내수술,5,구체적수술시술,9
956,Ombitasvir,5,기타전문용어,10
957,Dasabuvir,5,기타전문용어,9
958,비유전성질환,5,복합질병명,6
959,발작성야간혈색소뇨증과,4,기타전문용어,11
960,신장투석요법,4,구체적수술시술,6
961,소아알레르기호흡기,4,의료기기치료재료,9
962,대한피부과,4,기타전문용어,5
963,대한소아알레르기호흡기,4,의료기기치료재료,11
964,도프텔렛,4,기타전문용어,4
965,타발리스,4,기타전문용어,4
966,Fostamatinib,4,영문약물명,12
967,Fluconazole,4,영문약물명,11
968,고형장기,4,의료기기치료재료,4
969,Voriconazole,4,영문약물명,12
970,액티라제,4,기타전문용어,4
971,Nintedanib,4,영문약물명,10
972,피부점막,4,상세해부구조,4
973,메토젝트,4,기타전문용어,4
974,혈장분리교환술,4,구체적수술시술,7
975,주요장기,4,의료기기치료재료,4
976,파종성혈관,4,상세해부구조,5
977,프로비질,4,기타전문용어,4
978,오테리아,4,기타전문용어,4
979,Letermovir,4,기타전문용어,10
980,요관장피부문합술,4,구체적수술시술,8
981,방광전적출술,4,구체적수술시술,6
982,폐기포절제술,4,구체적수술시술,6
983,핵의학검사,4,전문검사진단,5
984,단층영상합성촬영,4,전문검사진단,8
985,단층영상합성촬영술,4,구체적수술시술,9
986,체질량지수,4,측정값지표,5
987,Sulglycotide,4,기타전문용어,12
988,다발성장기,4,의료기기치료재료,5
989,다발성장기부전,4,복합질병명,7
990,심기능부전,4,복합질병명,5
991,만성중증장기부전,4,복합질병명,8
992,만성중증장기,4,의료기기치료재료,6
993,만성심부전,4,복합질병명,5
994,치료하기,4,의료기기치료재료,4
995,오크레부스,4,기타전문용어,5
996,빈다맥스,4,기타전문용어,4
997,조직검사결과,4,상세해부구조,6
998,Telmisartan,4,영문약물명,11
999,Candesartan,4,영문약물명,11
1000,Pitavastatin,4,영문약물명,12
