rank,term,frequency,category,length
154,도인운동요법,18,구체적수술시술,6
155,두개골조기봉합교정수술,18,구체적수술시술,11
156,경피적관상동맥중재술,17,구체적수술시술,10
157,Heart Disease,17,영문복합의학용어,13
158,일반병동과,17,기타전문용어,5
159,차세대염기,17,의료기기치료재료,5
160,뇌기저부수술,17,구체적수술시술,6
161,장기요양기,17,의료기기치료재료,5
162,세포병리검사,17,전문검사진단,6
163,중동호흡기증후군,17,복합질병명,8
164,중동호흡기,17,의료기기치료재료,5
165,치료적성분채집술,17,구체적수술시술,8
166,세기변조방사선,17,상세해부구조,7
167,Disease Activity Score,16,영문복합의학용어,22
168,Vedolizumab,16,영문약물명,11
169,Ixekizumab,16,영문약물명,10
170,Secukinumab,16,영문약물명,11
171,레미케이드,16,기타전문용어,5
172,Infectious Diseases,16,영문복합의학용어,19
173,폐쐐기절제술,16,구체적수술시술,6
174,치매척도검사,16,전문검사진단,6
175,추간판전치환술,16,구체적수술시술,7
176,전기수술기,16,의료기기치료재료,5
177,신종감염병증후군,16,복합질병명,8
178,뇌동정맥기,16,상세해부구조,5
179,갑상선기,16,상세해부구조,4
180,시행하기,16,의료기기치료재료,4
181,피부혈행조영술,16,구체적수술시술,7
182,피부혈행조영,16,전문검사진단,6
183,Filgotinib,15,영문약물명,10
184,Risankizumab,15,영문약물명,12
185,Guselkumab,15,영문약물명,10
186,뇌동맥류수술,15,구체적수술시술,6
187,세포표지검사,15,전문검사진단,6
188,근전도검사,15,전문검사진단,5
189,마이크로어레이검사,15,전문검사진단,9
190,신경절차단술,15,구체적수술시술,6
191,지역응급의료센터,15,기타전문용어,8
192,중합효소연쇄반응검사,15,전문검사진단,10
193,사후점검기,15,의료기기치료재료,5
194,신경뿌리병증,15,복합질병명,6
195,유세포분석,14,전문검사진단,5
196,스텐트삽입술,14,구체적수술시술,6
197,Bimekizumab,14,영문약물명,11
198,빔젤릭스오토인젝터,14,기타전문용어,9
199,약물방출풍선,14,상세해부구조,6
200,약물방출풍선카테터,14,상세해부구조,9
201,조직확장기,14,상세해부구조,5
202,인공심폐기,14,의료기기치료재료,5
203,관상동맥질환,14,복합질병명,6
204,방사선촬영,14,전문검사진단,5
205,척추수핵흡인술,14,구체적수술시술,7
206,직장수지검사,14,전문검사진단,6
207,경도인지장애,14,복합질병명,6
208,결정하기,14,의료기기치료재료,4
209,의료기관평가,14,전문검사진단,6
210,신속동정검사,14,전문검사진단,6
211,협약의료기,14,의료기기치료재료,5
212,비뇨기과,14,기타전문용어,4
213,치과대학부속치과,14,기타전문용어,8
214,연부조직종양적출술,14,구체적수술시술,9
215,미주신경자극기,14,상세해부구조,7
216,응고기능기,14,의료기기치료재료,5
217,액상흡인세포병리검사,14,전문검사진단,10
218,액상흡인세포,14,상세해부구조,6
219,천수신경조절술,14,구체적수술시술,7
220,평가하기,13,의료기기치료재료,4
221,Deucravacitinib,13,영문약물명,15
222,자궁부속기,13,의료기기치료재료,5
223,비용효과,13,기타전문용어,4
224,아리셉트,13,기타전문용어,4
225,판단하기,13,의료기기치료재료,4
226,마취통증의학과,13,기타전문용어,7
227,일측폐환기,13,의료기기치료재료,5
228,Cardiac Resynchronization Therapy,13,영문복합의학용어,33
229,척추후굴풍선복원술,13,구체적수술시술,9
230,척추후굴풍선,13,상세해부구조,6
231,대한산부인과,13,기타전문용어,6
232,여성생식기,13,의료기기치료재료,5
233,피부반응검사,13,전문검사진단,6
234,장기크기,13,의료기기치료재료,4
235,사지관절절제술,13,구체적수술시술,7
236,해당분기,13,의료기기치료재료,4
237,자궁내장치,13,의료기기치료재료,5
238,정형외과,13,기타전문용어,4
239,척추경나사,13,기타전문용어,5
240,이온삼투요법,13,구체적수술시술,6
241,조직면역형광현미경검사,13,전문검사진단,11
242,망막박리수술,13,구체적수술시술,6
243,망막열공냉동응고술,13,구체적수술시술,9
244,유트로핀,13,기타전문용어,4
245,에스장절제술,13,구체적수술시술,6
246,비중격교정술,13,구체적수술시술,6
247,Teriflunomide,13,기타전문용어,13
248,심기능측정,13,전문검사진단,5
249,고주파열응고술,13,구체적수술시술,7
250,자가조혈모세포,13,상세해부구조,7
251,침전기자극술,13,구체적수술시술,6
252,제대혈조혈모세포,13,상세해부구조,8
253,수면다원검사,12,전문검사진단,6
254,간이정신진단검사,12,전문검사진단,8
255,노인장기,12,의료기기치료재료,4
256,감염내과,12,기타전문용어,4
257,Related Disorders,12,영문복합의학용어,17
258,혈액가스분석,12,전문검사진단,6
259,장기추적검사,12,전문검사진단,6
260,MRI 촬영이,12,기타전문용어,7
261,유리체내주입술,12,구체적수술시술,7
262,염색체검사,12,전문검사진단,5
263,남성생식기,12,의료기기치료재료,5
264,회전근개수술,12,구체적수술시술,6
265,관절와순수술,12,구체적수술시술,6
266,단일광자전산화단층촬영,12,전문검사진단,11
267,의무고용비율,12,측정값지표,6
268,안구광학단층촬영,12,전문검사진단,8
269,국민건강보험요양급여의기,12,의료기기치료재료,12
270,액상세포검사,12,전문검사진단,6
271,Tenofovir,12,기타전문용어,9
272,Liver Disease,12,영문복합의학용어,13
273,갑상선자극면역글로불린검사,12,전문검사진단,13
274,척수신경자극기,12,상세해부구조,7
275,항카디오리핀,12,기타전문용어,6
276,세극등현미경검사,12,전문검사진단,8
277,신규개설기,12,의료기기치료재료,5
278,치근낭적출술,12,구체적수술시술,6
279,비리어드,12,기타전문용어,4
280,대장세척기,12,의료기기치료재료,5
281,제한효소분석,12,전문검사진단,6
282,외래진료센터,12,기타전문용어,6
283,신종코로나바이러스감염증,12,복합질병명,12
284,다형성검사,12,전문검사진단,5
285,장관유착박리술,12,구체적수술시술,7
286,젠자임파브라자임,12,기타전문용어,8
287,식도악성종양근치수술,12,구체적수술시술,10
288,중파장자외선,11,상세해부구조,6
289,판상건선,11,상세해부구조,4
290,항호중구세포,11,상세해부구조,6
291,냉각풍선,11,상세해부구조,4
292,냉각풍선절제술,11,구체적수술시술,7
293,결장경검사,11,전문검사진단,5
294,강제호기,11,의료기기치료재료,4
