rank,term,frequency,category,length,tier
1341,중증진료등록,7,기타의료용어,6,Tier4_중저빈도
1342,보험급여인정기,7,의료기기,7,Tier4_중저빈도
1343,보험급여인정기준,7,의료기기,8,Tier4_중저빈도
1344,감각기관,7,의료기기,4,Tier4_중저빈도
1345,풍선복원술,7,수술및시술,5,Tier4_중저빈도
1346,CT 요양급여,7,기타의료용어,7,Tier4_중저빈도
1347,대퇴신경차단술,7,수술및시술,7,Tier4_중저빈도
1348,척추후궁절제후증후군,7,질병및증후군,10,Tier4_중저빈도
1349,척추후궁절제후증,7,기타의료용어,8,Tier4_중저빈도
1350,신호대기,7,의료기기,4,Tier4_중저빈도
1351,서울특별시및광역시구지역소재요양기,7,의료기기,17,Tier4_중저빈도
1352,서울특별시및광역시구지역소재요양기관,7,의료기기,18,Tier4_중저빈도
1353,전립선증식증,7,해부및생리,6,Tier4_중저빈도
1354,티쎈트릭,7,기타의료용어,4,Tier4_중저빈도
1355,씨스푸란,7,기타의료용어,4,Tier4_중저빈도
1356,Positron Emission Tomography,7,영문의학용어,28,Tier4_중저빈도
1357,췌관배액술,7,수술및시술,5,Tier4_중저빈도
1358,반월상연골봉합술,7,수술및시술,8,Tier4_중저빈도
1359,흉터개선,7,해부및생리,4,Tier4_중저빈도
1360,타각적청력역치측정검사,7,검사및진단,11,Tier4_중저빈도
1361,공동폐쇄유양동절제술,7,수술및시술,10,Tier4_중저빈도
1362,만성육아종,6,질병및증후군,5,Tier4_중저빈도
1363,만성육아종질환,6,질병및증후군,7,Tier4_중저빈도
1364,시신경척수염,6,해부및생리,6,Tier4_중저빈도
1365,시신경척수,6,해부및생리,5,Tier4_중저빈도
1366,Disease Modifying,6,영문의학용어,17,Tier4_중저빈도
1367,아프타성구내염,6,기타의료용어,7,Tier4_중저빈도
1368,Nifedipine,6,생물학적제제,10,Tier4_중저빈도
1369,아달라트오로스,6,기타의료용어,7,Tier4_중저빈도
1370,Vascular Surgery,6,영문의학용어,16,Tier4_중저빈도
1371,다기관염증증후군,6,질병및증후군,8,Tier4_중저빈도
1372,다기관염증증,6,의료기기,6,Tier4_중저빈도
1373,투여조건,6,기타의료용어,4,Tier4_중저빈도
1374,표피박리증,6,기타의료용어,5,Tier4_중저빈도
1375,원발장기,6,의료기기,4,Tier4_중저빈도
1376,경피적담관,6,기타의료용어,5,Tier4_중저빈도
1377,국제질병분류,6,기타의료용어,6,Tier4_중저빈도
1378,크론병활성도,6,측정값지표,6,Tier4_중저빈도
1379,울혈성심부전,6,질병및증후군,6,Tier4_중저빈도
1380,장기이식술,6,수술및시술,5,Tier4_중저빈도
1381,Membrane Oxygenation,6,영문의학용어,20,Tier4_중저빈도
1382,대퇴슬와동맥,6,해부및생리,6,Tier4_중저빈도
1383,인공성대삽입술,6,수술및시술,7,Tier4_중저빈도
1384,Vancomycin,6,생물학적제제,10,Tier4_중저빈도
1385,클래리시드필름코팅,6,기타의료용어,9,Tier4_중저빈도
1386,황체형성호르몬,6,기타의료용어,7,Tier4_중저빈도
1387,후방감압술,6,수술및시술,5,Tier4_중저빈도
1388,정관정관,6,기타의료용어,4,Tier4_중저빈도
1389,정관정관문합술,6,수술및시술,7,Tier4_중저빈도
1390,확진하기,6,의료기기,4,Tier4_중저빈도
1391,음압격리병,6,질병및증후군,5,Tier4_중저빈도
1392,청소년기,6,의료기기,4,Tier4_중저빈도
1393,아일리아,6,기타의료용어,4,Tier4_중저빈도
1394,Radiofrequency Ablation,6,영문의학용어,23,Tier4_중저빈도
1395,유치도뇨관,6,기타의료용어,5,Tier4_중저빈도
1396,비호지킨림프종,6,질병및증후군,7,Tier4_중저빈도
1397,Esomeprazole,6,생물학적제제,12,Tier4_중저빈도
1398,Brolucizumab,6,생물학적제제,12,Tier4_중저빈도
1399,대동맥근부수술,6,수술및시술,7,Tier4_중저빈도
1400,상결장경검사,6,기타의료용어,6,Tier4_중저빈도
1401,신경근병증,6,질병및증후군,5,Tier4_중저빈도
1402,탈수초성질환,6,질병및증후군,6,Tier4_중저빈도
1403,퇴행성질환,6,질병및증후군,5,Tier4_중저빈도
1404,뇌하수체기능저하증,6,의료기기,9,Tier4_중저빈도
1405,침습적동맥,6,해부및생리,5,Tier4_중저빈도
1406,교모세포종,6,질병및증후군,5,Tier4_중저빈도
1407,말초혈액검사,6,기타의료용어,6,Tier4_중저빈도
1408,전국의료관,6,기타의료용어,5,Tier4_중저빈도
1409,감염감시체,6,기타의료용어,5,Tier4_중저빈도
1410,감염감시체계,6,기타의료용어,6,Tier4_중저빈도
1411,루베리스,6,기타의료용어,4,Tier4_중저빈도
1412,킨텔레스,6,기타의료용어,4,Tier4_중저빈도
1413,이소골재건술,6,수술및시술,6,Tier4_중저빈도
1414,이소골재건,6,기타의료용어,5,Tier4_중저빈도
1415,말초동맥질환,6,질병및증후군,6,Tier4_중저빈도
1416,대한임상검사정도관,6,기타의료용어,9,Tier4_중저빈도
1417,대한임상검사정도,6,기타의료용어,8,Tier4_중저빈도
1418,경동맥수술,6,수술및시술,5,Tier4_중저빈도
1419,위장관질환,6,질병및증후군,5,Tier4_중저빈도
1420,피부묘기증,6,의료기기,5,Tier4_중저빈도
1421,산소포화도측정,6,기타의료용어,7,Tier4_중저빈도
1422,음경해면체,6,기타의료용어,5,Tier4_중저빈도
1423,야간조제관,6,기타의료용어,5,Tier4_중저빈도
1424,아전절제술,6,수술및시술,5,Tier4_중저빈도
1425,측두하악장애,6,질병및증후군,6,Tier4_중저빈도
1426,경막외조영술,6,수술및시술,6,Tier4_중저빈도
1427,적정치료기,6,의료기기,5,Tier4_중저빈도
1428,중앙집중관찰시스템,6,의료기기,9,Tier4_중저빈도
1429,중앙집중관찰,6,기타의료용어,6,Tier4_중저빈도
1430,중앙집중관,6,기타의료용어,5,Tier4_중저빈도
1431,세포내시경검사,6,해부및생리,7,Tier4_중저빈도
1432,도수근력검사,6,기타의료용어,6,Tier4_중저빈도
1433,승모판치환술,6,수술및시술,6,Tier4_중저빈도
1434,방사면역측정,6,검사및진단,6,Tier4_중저빈도
1435,자궁경관무력증,6,기타의료용어,7,Tier4_중저빈도
1436,간동맥조영술,6,수술및시술,6,Tier4_중저빈도
1437,자궁난관,6,기타의료용어,4,Tier4_중저빈도
1438,뇌병변장애,6,질병및증후군,5,Tier4_중저빈도
1439,자폐성장애,6,질병및증후군,5,Tier4_중저빈도
1440,신경박리술,6,수술및시술,5,Tier4_중저빈도
1441,광범위절제술,6,수술및시술,6,Tier4_중저빈도
1442,화학색전술,6,수술및시술,5,Tier4_중저빈도
1443,환자안전기준,6,의료기기,6,Tier4_중저빈도
1444,환자안전기,6,의료기기,5,Tier4_중저빈도
1445,Entecavir,6,기타의료용어,9,Tier4_중저빈도
1446,말초혈관질환,6,질병및증후군,6,Tier4_중저빈도
1447,심혈관계질환,6,질병및증후군,6,Tier4_중저빈도
1448,결막누낭,6,해부및생리,4,Tier4_중저빈도
1449,결막누낭비강문합술,6,수술및시술,9,Tier4_중저빈도
1450,MRI 또는,6,기타의료용어,6,Tier4_중저빈도
1451,Nephrol Dial Transplant,6,영문의학용어,23,Tier4_중저빈도
1452,카테터삽입술,6,수술및시술,6,Tier4_중저빈도
1453,Inflammatory Bowel Disease,6,영문의학용어,26,Tier4_중저빈도
1454,자가혈관,6,해부및생리,4,Tier4_중저빈도
1455,대변항원검사,6,기타의료용어,6,Tier4_중저빈도
1456,Catheter Ablation,6,영문의학용어,17,Tier4_중저빈도
1457,릭시아나,6,기타의료용어,4,Tier4_중저빈도
1458,그레이브스병,6,질병및증후군,6,Tier4_중저빈도
1459,피부양성종양적출술,6,수술및시술,9,Tier4_중저빈도
1460,바이토린,6,기타의료용어,4,Tier4_중저빈도
1461,Simvastatin,6,생물학적제제,11,Tier4_중저빈도
1462,위치표식술,6,수술및시술,5,Tier4_중저빈도
1463,눈물배출기,6,의료기기,5,Tier4_중저빈도
1464,선천성기,6,해부및생리,4,Tier4_중저빈도
1465,대비감도검사,6,기타의료용어,6,Tier4_중저빈도
1466,시험적거치술,6,수술및시술,6,Tier4_중저빈도
1467,도모하기,6,의료기기,4,Tier4_중저빈도
1468,수가개선,6,해부및생리,4,Tier4_중저빈도
1469,해결하기,6,의료기기,4,Tier4_중저빈도
1470,기관절개관,6,해부및생리,5,Tier4_중저빈도
1471,약제내성검사,6,기타의료용어,6,Tier4_중저빈도
1472,성매개감염,6,기타의료용어,5,Tier4_중저빈도
1473,제한적 MRI,6,기타의료용어,7,Tier4_중저빈도
1474,골반복막절제술,6,수술및시술,7,Tier4_중저빈도
1475,골반복막,6,해부및생리,4,Tier4_중저빈도
1476,교원성혈관,6,해부및생리,5,Tier4_중저빈도
1477,휴온스 리도카인 염산염 수화물,6,기타의료용어,16,Tier4_중저빈도
1478,혈액여과술,6,수술및시술,5,Tier4_중저빈도
1479,풍선확장카테터,6,해부및생리,7,Tier4_중저빈도
1480,의뢰기관,6,의료기기,4,Tier4_중저빈도
1481,혈관문합술,6,수술및시술,5,Tier4_중저빈도
1482,심사기관,6,의료기기,4,Tier4_중저빈도
1483,관상동맥회로우회술,6,수술및시술,9,Tier4_중저빈도
1484,프로토픽,6,기타의료용어,4,Tier4_중저빈도
1485,지유착증수술,6,수술및시술,6,Tier4_중저빈도
1486,기계적혈전제거술,6,수술및시술,8,Tier4_중저빈도
1487,금속스텐트삽입술,6,수술및시술,8,Tier4_중저빈도
1488,설소대성형술,6,수술및시술,6,Tier4_중저빈도
1489,각막곡율측정,6,해부및생리,6,Tier4_중저빈도
1490,심방중격결손증수술,6,수술및시술,9,Tier4_중저빈도
1491,체외진단검사,6,검사및진단,6,Tier4_중저빈도
1492,인접장기,6,의료기기,4,Tier4_중저빈도
1493,치매정신증,6,기타의료용어,5,Tier4_중저빈도
1494,Current Surgical Therapy,6,영문의학용어,24,Tier4_중저빈도
1495,아빌리파이메인테나,6,기타의료용어,9,Tier4_중저빈도
1496,자베스카,6,기타의료용어,4,Tier4_중저빈도
1497,자베스카캡슐,6,약물및성분,6,Tier4_중저빈도
1498,스타빌라이지드세레텍,6,기타의료용어,10,Tier4_중저빈도
1499,의약품분류번호,6,기타의료용어,7,Tier4_중저빈도
1500,관상동맥조영촬영,6,해부및생리,8,Tier4_중저빈도
1501,요양급여의적용기준,6,의료기기,9,Tier4_중저빈도
1502,중이내튜브유치술,6,수술및시술,8,Tier4_중저빈도
1503,중이내튜브,6,기타의료용어,5,Tier4_중저빈도
1504,판정하기,6,의료기기,4,Tier4_중저빈도
1505,기관내튜브,6,의료기기,5,Tier4_중저빈도
1506,식피확장기,6,의료기기,5,Tier4_중저빈도
1507,Occlusion Balloon Catheter,6,영문의학용어,26,Tier4_중저빈도
1508,역행성담췌관내시경수술,6,수술및시술,11,Tier4_중저빈도
1509,역행성담췌관내시경,6,기타의료용어,9,Tier4_중저빈도
1510,모유수유간호관,6,기타의료용어,7,Tier4_중저빈도
1511,클로자릴,6,기타의료용어,4,Tier4_중저빈도
1512,가와사끼병,6,질병및증후군,5,Tier4_중저빈도
1513,Pressure Monitoring,6,영문의학용어,19,Tier4_중저빈도
1514,다발신경병증,6,질병및증후군,6,Tier4_중저빈도
1515,자궁내막흡인생검,6,해부및생리,8,Tier4_중저빈도
1516,혈액총이산화탄소함량,6,측정값지표,10,Tier4_중저빈도
1517,프라그민,6,기타의료용어,4,Tier4_중저빈도
1518,자동분석기,6,의료기기,5,Tier4_중저빈도
1519,Propranolol,6,생물학적제제,11,Tier4_중저빈도
1520,특수염색검사,6,기타의료용어,6,Tier4_중저빈도
1521,조기유합증,6,의료기기,5,Tier4_중저빈도
1522,검체크기,6,의료기기,4,Tier4_중저빈도
1523,양측장기,6,의료기기,4,Tier4_중저빈도
1524,비예기항체검사,6,의료기기,7,Tier4_중저빈도
1525,불규칙항체검사,6,기타의료용어,7,Tier4_중저빈도
1526,Platelet Neuralization Procedure,6,영문의학용어,32,Tier4_중저빈도
1527,혈액응고탄성,6,기타의료용어,6,Tier4_중저빈도
1528,혈액응고탄성도검사,6,기타의료용어,9,Tier4_중저빈도
1529,비탁면역분석,6,검사및진단,6,Tier4_중저빈도
1530,효소면역측정,6,검사및진단,6,Tier4_중저빈도
1531,정독경관조직,6,해부및생리,6,Tier4_중저빈도
1532,미생물라텍스응집검사,6,기타의료용어,10,Tier4_중저빈도
1533,Polypeptide,6,기타의료용어,11,Tier4_중저빈도
1534,연속절편검사,6,기타의료용어,6,Tier4_중저빈도
1535,조직면역형광검사,6,검사및진단,8,Tier4_중저빈도
1536,주사전자현미경검사,6,기타의료용어,9,Tier4_중저빈도
1537,동결전자현미경검사,6,기타의료용어,9,Tier4_중저빈도
1538,분석전자현미경검사,6,검사및진단,9,Tier4_중저빈도
1539,면역전자현미경검사,6,검사및진단,9,Tier4_중저빈도
1540,자궁경부암검사,6,기타의료용어,7,Tier4_중저빈도
1541,구강박리세포병,6,질병및증후군,7,Tier4_중저빈도
1542,구강박리세포,6,해부및생리,6,Tier4_중저빈도
1543,구강박리세포병리검사,6,해부및생리,10,Tier4_중저빈도
1544,Acethylprocainamide,6,기타의료용어,19,Tier4_중저빈도
1545,Disopyramide,6,기타의료용어,12,Tier4_중저빈도
1546,Procainamide,6,기타의료용어,12,Tier4_중저빈도
1547,Zonisamide,6,기타의료용어,10,Tier4_중저빈도
1548,테이코플라닌약물정량검사,6,기타의료용어,12,Tier4_중저빈도
1549,불소이온측정검사,6,검사및진단,8,Tier4_중저빈도
1550,요중불화물측정,6,기타의료용어,7,Tier4_중저빈도
1551,뎅기열항체검사,6,의료기기,7,Tier4_중저빈도
1552,일본뇌염항체검사,6,기타의료용어,8,Tier4_중저빈도
1553,일본뇌염항체,6,기타의료용어,6,Tier4_중저빈도
1554,뎅기열항체,6,의료기기,5,Tier4_중저빈도
1555,특수약물검사,6,기타의료용어,6,Tier4_중저빈도
1556,마이토닌,6,기타의료용어,4,Tier4_중저빈도
1557,골도보청기,6,의료기기,5,Tier4_중저빈도
1558,반창고견인,6,기타의료용어,5,Tier4_중저빈도
1559,반창고견인술,6,수술및시술,6,Tier4_중저빈도
1560,절삭기구류,6,의료기기,5,Tier4_중저빈도
1561,경요도적방광내수술,6,수술및시술,9,Tier4_중저빈도
1562,골수증식성종,6,질병및증후군,6,Tier4_중저빈도
1563,진성혈소판증가증,6,기타의료용어,8,Tier4_중저빈도
1564,주민등록증,6,기타의료용어,5,Tier4_중저빈도
1565,뉴신타서방,6,기타의료용어,5,Tier4_중저빈도
1566,지역보건,6,기타의료용어,4,Tier4_중저빈도
1567,골이식대체,6,기타의료용어,5,Tier4_중저빈도
1568,프레지스타,6,기타의료용어,5,Tier4_중저빈도
1569,백혈구배양검사,6,기타의료용어,7,Tier4_중저빈도
1570,트랙토실,6,기타의료용어,4,Tier4_중저빈도
1571,Botulinum Toxin Injection Therapy,6,영문의학용어,33,Tier4_중저빈도
1572,치주외과수술,6,수술및시술,6,Tier4_중저빈도
1573,심장조영술,6,수술및시술,5,Tier4_중저빈도
1574,Berman Angiographic Catheter,6,영문의학용어,28,Tier4_중저빈도
1575,배액수집용기,6,의료기기,6,Tier4_중저빈도
1576,공여피부절제기,6,의료기기,7,Tier4_중저빈도
1577,인조안구체,6,기타의료용어,5,Tier4_중저빈도
1578,치핵근치술,6,수술및시술,5,Tier4_중저빈도
1579,수기료산정방법,6,의료기기,7,Tier4_중저빈도
1580,척수신경자극기설치술,6,수술및시술,10,Tier4_중저빈도
1581,흉막유착술,6,수술및시술,5,Tier4_중저빈도
1582,새한크롬이디티에이,6,기타의료용어,9,Tier4_중저빈도
1583,장기이식의료기,6,의료기기,7,Tier4_중저빈도
1584,장기이식의료기관,6,의료기기,8,Tier4_중저빈도
1585,자극발생기,6,의료기기,5,Tier4_중저빈도
1586,소화관내시경검사,6,기타의료용어,8,Tier4_중저빈도
1587,의료급여수가기준,6,의료기기,8,Tier4_중저빈도
1588,의료급여수가기,6,의료기기,7,Tier4_중저빈도
1589,본인부담구분코드,6,기타의료용어,8,Tier4_중저빈도
1590,피부이완증,6,기타의료용어,5,Tier4_중저빈도
1591,피부절제술,6,수술및시술,5,Tier4_중저빈도
1592,전산화단층촬영시스템,6,의료기기,10,Tier4_중저빈도
1593,추간판절제술,6,수술및시술,6,Tier4_중저빈도
1594,가족기능평가,6,의료기기,6,Tier4_중저빈도
1595,신경근파괴술,6,수술및시술,6,Tier4_중저빈도
1596,이화자폐아동행동발달평가,6,기타의료용어,12,Tier4_중저빈도
1597,알버트평가검사,6,검사및진단,7,Tier4_중저빈도
1598,성인배설기능장애,6,질병및증후군,8,Tier4_중저빈도
1599,성인배설기,6,의료기기,5,Tier4_중저빈도
1600,안검내반증수술,6,수술및시술,7,Tier4_중저빈도
1601,상악동사골동근본수술,6,수술및시술,10,Tier4_중저빈도
1602,전체운동기능측정,6,의료기기,8,Tier4_중저빈도
1603,전체운동기,6,의료기기,5,Tier4_중저빈도
1604,정관복원술,6,수술및시술,5,Tier4_중저빈도
1605,피부단자검사,6,기타의료용어,6,Tier4_중저빈도
1606,추간판조영촬영,6,기타의료용어,7,Tier4_중저빈도
1607,소장절제술,6,수술및시술,5,Tier4_중저빈도
1608,Radio Immune Assay,6,영문의학용어,18,Tier4_중저빈도
1609,심혈관조영술,6,수술및시술,6,Tier4_중저빈도
1610,성격선호도검사,6,해부및생리,7,Tier4_중저빈도
1611,특수근관,6,기타의료용어,4,Tier4_중저빈도
1612,근건이완수기요법,6,수술및시술,8,Tier4_중저빈도
1613,근건이완수기,6,의료기기,6,Tier4_중저빈도
1614,시범기관,6,의료기기,4,Tier4_중저빈도
1615,타의료기,6,의료기기,4,Tier4_중저빈도
1616,타의료기관,6,의료기기,5,Tier4_중저빈도
1617,산정하시기,6,의료기기,5,Tier4_중저빈도
1618,인체면역결핍바이러스질환,6,질병및증후군,12,Tier4_중저빈도
1619,희귀난치성질환군,6,기타의료용어,8,Tier4_중저빈도
1620,상기도감염,6,의료기기,5,Tier4_중저빈도
1621,구강악안면방사선,6,해부및생리,8,Tier4_중저빈도
1622,또는 PET,6,기타의료용어,6,Tier4_중저빈도
1623,MRI 촬영시,6,기타의료용어,7,Tier4_중저빈도
1624,중앙심사평가,6,기타의료용어,6,Tier4_중저빈도
1625,의료보호정신질환,6,질병및증후군,8,Tier4_중저빈도
1626,진료비청구관,6,기타의료용어,6,Tier4_중저빈도
1627,원내조제지침,6,기타의료용어,6,Tier4_중저빈도
1628,의료보험요양기관,6,의료기기,8,Tier4_중저빈도
1629,의료보호기관,6,의료기기,6,Tier4_중저빈도
1630,서울시립아동병,6,질병및증후군,7,Tier4_중저빈도
1631,의료보험약가기준,6,의료기기,8,Tier4_중저빈도
1632,의료보험약가기,6,의료기기,7,Tier4_중저빈도
1633,국립소록도병,6,질병및증후군,6,Tier4_중저빈도
1634,간우엽절제술,6,수술및시술,6,Tier4_중저빈도
1635,영구적심박동기,6,의료기기,7,Tier4_중저빈도
1636,경흉부심초음파,6,기타의료용어,7,Tier4_중저빈도
1637,대뇌동맥류,6,해부및생리,5,Tier4_중저빈도
1638,시행한 PET,6,기타의료용어,7,Tier4_중저빈도
1639,추간관절차단술,6,수술및시술,7,Tier4_중저빈도
1640,임상갑상선,6,해부및생리,5,Tier4_중저빈도
1641,MRI 인정여부,6,기타의료용어,8,Tier4_중저빈도
1642,Temozolomide,6,기타의료용어,12,Tier4_중저빈도
1643,피하양성종,6,질병및증후군,5,Tier4_중저빈도
1644,CT 검사,6,기타의료용어,5,Tier4_중저빈도
1645,화학요법기,6,의료기기,5,Tier4_중저빈도
1646,단클론항체,6,기타의료용어,5,Tier4_중저빈도
1647,갑상선악성종양근치수술,6,수술및시술,11,Tier4_중저빈도
1648,갑상선악성종,6,질병및증후군,6,Tier4_중저빈도
1649,상악동근본수술,6,수술및시술,7,Tier4_중저빈도
1650,이정변기요법,6,수술및시술,6,Tier4_중저빈도
1651,이정변기,6,의료기기,4,Tier4_중저빈도
1652,심사적용방법,6,기타의료용어,6,Tier4_중저빈도
1653,골수염또는골농양수술,6,수술및시술,10,Tier4_중저빈도
1654,배형성형술,6,수술및시술,5,Tier4_중저빈도
1655,골부분절제술,6,수술및시술,6,Tier4_중저빈도
1656,두부 CT,6,기타의료용어,5,Tier4_중저빈도
1657,전방유합술,6,수술및시술,5,Tier4_중저빈도
1658,내측반달연골,6,해부및생리,6,Tier4_중저빈도
1659,근막통증증,6,해부및생리,5,Tier4_중저빈도
1660,근막통증증후군,6,질병및증후군,7,Tier4_중저빈도
1661,전십자인대,6,해부및생리,5,Tier4_중저빈도
1662,체외조사전산화방사선,6,해부및생리,10,Tier4_중저빈도
1663,두번째혈관,6,해부및생리,5,Tier4_중저빈도
1664,재심의하기,6,의료기기,5,Tier4_중저빈도
1665,수술적응증,6,기타의료용어,5,Tier4_중저빈도
1666,방사선병용요법,6,수술및시술,7,Tier4_중저빈도
1667,발작성야간혈색소뇨증,5,기타의료용어,10,Tier4_중저빈도
1668,대한천식알레르기,5,의료기기,8,Tier4_중저빈도
1669,고형장기,5,의료기기,4,Tier4_중저빈도
1670,Voriconazole,5,생물학적제제,12,Tier4_중저빈도
1671,흉관삽관,5,기타의료용어,4,Tier4_중저빈도
1672,Kidney Diseases,5,영문의학용어,15,Tier4_중저빈도
1673,만성콩팥병,5,질병및증후군,5,Tier4_중저빈도
1674,관상동맥합병증,5,질병및증후군,7,Tier4_중저빈도
1675,아급성탈수초성다발성신경,5,해부및생리,12,Tier4_중저빈도
1676,비장적출수술,5,수술및시술,6,Tier4_중저빈도
1677,주요장기,5,의료기기,4,Tier4_중저빈도
1678,혈장분리교환술,5,수술및시술,7,Tier4_중저빈도
1679,아급성탈수초성다발성신경염,5,해부및생리,13,Tier4_중저빈도
1680,주의력결핍과잉행동장애,5,질병및증후군,11,Tier4_중저빈도
1681,담도협착확장술,5,수술및시술,7,Tier4_중저빈도
1682,배액관교환술,5,수술및시술,6,Tier4_중저빈도
1683,요관스텐트설치술,5,수술및시술,8,Tier4_중저빈도
1684,아뎀파스,5,기타의료용어,4,Tier4_중저빈도
1685,대한결핵및호흡기,5,의료기기,8,Tier4_중저빈도
1686,Clin Transplant,5,영문의학용어,15,Tier4_중저빈도
1687,난소절제술,5,수술및시술,5,Tier4_중저빈도
1688,폐구역절제술,5,수술및시술,6,Tier4_중저빈도
1689,폐기포절제술,5,수술및시술,6,Tier4_중저빈도
1690,방광전적출술,5,수술및시술,6,Tier4_중저빈도
1691,Stent Restenosis,5,영문의학용어,16,Tier4_중저빈도
1692,약물방출스텐트,5,의료기기,7,Tier4_중저빈도
1693,영구기관,5,의료기기,4,Tier4_중저빈도
1694,확장유도술,5,수술및시술,5,Tier4_중저빈도
1695,Ocrelizumab,5,생물학적제제,11,Tier4_중저빈도
1696,디엠듀오,5,기타의료용어,4,Tier4_중저빈도
1697,ICD 기준에,5,의료기기,7,Tier4_중저빈도
1698,비귀금속도재관,5,기타의료용어,7,Tier4_중저빈도
1699,비귀금속도,5,측정값지표,5,Tier4_중저빈도
1700,성장호르몬주사제,5,약물및성분,8,Tier4_중저빈도
1701,심퍼니프리필드시린지,5,기타의료용어,10,Tier4_중저빈도
1702,정계정맥류,5,해부및생리,5,Tier4_중저빈도
1703,자궁경부원추형절제술,5,수술및시술,10,Tier4_중저빈도
1704,뇌실천자술,5,수술및시술,5,Tier4_중저빈도
1705,구강점막,5,해부및생리,4,Tier4_중저빈도
1706,빛간섭단층촬영,5,기타의료용어,7,Tier4_중저빈도
1707,결핵진료지침,5,기타의료용어,6,Tier4_중저빈도
1708,만성신질환,5,질병및증후군,5,Tier4_중저빈도
1709,저성선자극호르몬,5,해부및생리,8,Tier4_중저빈도
1710,만성난치통증,5,기타의료용어,6,Tier4_중저빈도
1711,근위축성축삭경화증,5,기타의료용어,9,Tier4_중저빈도
1712,요관절석술,5,수술및시술,5,Tier4_중저빈도
1713,기계환기,5,의료기기,4,Tier4_중저빈도
1714,흉부방사선,5,해부및생리,5,Tier4_중저빈도
1715,산정조건,5,기타의료용어,4,Tier4_중저빈도
1716,Treatment Strategies,5,영문의학용어,20,Tier4_중저빈도
1717,심장재수술,5,수술및시술,5,Tier4_중저빈도
1718,베쳇증후군,5,질병및증후군,5,Tier4_중저빈도
1719,대한감염관,5,기타의료용어,5,Tier4_중저빈도
1720,신경학적검사,5,해부및생리,6,Tier4_중저빈도
1721,소아청소년암,5,질병및증후군,6,Tier4_중저빈도
1722,행위재분류,5,기타의료용어,5,Tier4_중저빈도
1723,침습적동맥압혈압측정,5,해부및생리,10,Tier4_중저빈도
1724,침습적동맥압혈압,5,해부및생리,8,Tier4_중저빈도
1725,Benralizumab,5,생물학적제제,12,Tier4_중저빈도
1726,Fremanezumab,5,생물학적제제,12,Tier4_중저빈도
1727,한국망막,5,해부및생리,4,Tier4_중저빈도
1728,다발성골수종,5,질병및증후군,6,Tier4_중저빈도
1729,Coagulation Disorders,5,영문의학용어,21,Tier4_중저빈도
1730,전시야광역치검사,5,기타의료용어,8,Tier4_중저빈도
1731,호르몬대체요법,5,수술및시술,7,Tier4_중저빈도
1732,호르몬대체,5,기타의료용어,5,Tier4_중저빈도
1733,누점폐쇄술,5,수술및시술,5,Tier4_중저빈도
1734,Amoxicillin,5,생물학적제제,11,Tier4_중저빈도
1735,Alirocumab,5,생물학적제제,10,Tier4_중저빈도
1736,복부대동맥류,5,해부및생리,6,Tier4_중저빈도
1737,Drug Therapy,5,영문의학용어,12,Tier4_중저빈도
1738,Evolocumab,5,생물학적제제,10,Tier4_중저빈도
1739,담낭악성종,5,질병및증후군,5,Tier4_중저빈도
1740,담낭악성종양근치수술,5,수술및시술,10,Tier4_중저빈도
1741,제한적초음파,5,기타의료용어,6,Tier4_중저빈도
1742,상장간막,5,해부및생리,4,Tier4_중저빈도
1743,다낭성난소증,5,기타의료용어,6,Tier4_중저빈도
1744,다낭성난소증후군,5,질병및증후군,8,Tier4_중저빈도
1745,행정기관,5,의료기기,4,Tier4_중저빈도
1746,신경섬유종증,5,해부및생리,6,Tier4_중저빈도
1747,개두술마취,5,수술및시술,5,Tier4_중저빈도
1748,고빈도제트환기,5,의료기기,7,Tier4_중저빈도
1749,고빈도제트환기법마취,5,수술및시술,10,Tier4_중저빈도
1750,사람유두종,5,질병및증후군,5,Tier4_중저빈도
1751,척추동정맥,5,해부및생리,5,Tier4_중저빈도
1752,척추강내종,5,질병및증후군,5,Tier4_중저빈도
1753,선천성질환,5,질병및증후군,5,Tier4_중저빈도
1754,척추동정맥기,5,해부및생리,6,Tier4_중저빈도
1755,부갑상선기능항진증,5,해부및생리,9,Tier4_중저빈도
1756,아데노이드절제술,5,수술및시술,8,Tier4_중저빈도
1757,구순열비교정술,5,수술및시술,7,Tier4_중저빈도
1758,개선하기,5,해부및생리,4,Tier4_중저빈도
1759,관상동맥 CT,5,해부및생리,7,Tier4_중저빈도
1760,이해하기,5,의료기기,4,Tier4_중저빈도
1761,레보펙신,5,기타의료용어,4,Tier4_중저빈도
1762,파노라마촬영,5,기타의료용어,6,Tier4_중저빈도
1763,오구돌기,5,의료기기,4,Tier4_중저빈도
1764,액와하부신경,5,해부및생리,6,Tier4_중저빈도
1765,퇴행성관절,5,해부및생리,5,Tier4_중저빈도
1766,인공관절전치환술,5,수술및시술,8,Tier4_중저빈도
1767,퇴행성관절염,5,해부및생리,6,Tier4_중저빈도
1768,퇴행성관,5,기타의료용어,4,Tier4_중저빈도
1769,조직세절기,5,해부및생리,5,Tier4_중저빈도
1770,급성백혈병,5,질병및증후군,5,Tier4_중저빈도
1771,샤르코마리투스병,5,질병및증후군,8,Tier4_중저빈도
1772,인공혈관,5,해부및생리,4,Tier4_중저빈도
1773,시신경유두입체검사,5,해부및생리,9,Tier4_중저빈도
